id,phi0,epsr,epsv,thetaf,ra,rp,dt1,dt2,x_ra,x_rp,tof,m0,lfb
50,3.015928947446201,1.0e-6,1.0e-6,3.141592653589793,0.1272555395455898,4.0234587397116615,13.443999999997988,8.967000000006419,"[387.7298102342885, 3.874421976727911, 1.3623716659735013e-22, 0.05785675992913869, 0.01617475779140352, 3.3244106999062035e-23, 1.0]","[388.9220867464055, -0.07761208452959106, -4.477201998443167e-24, 2.5308321648590657, 2.8326663143229185, -1.0134131982346213e-21, 1.0]",22.411000000004407,1.0,0
51,3.015928947446201,1.0e-6,1.0e-6,5.9061941887488105,0.029250271603160294,3.9122353520301436,15.421999999996892,10.70000000001205,"[392.0511573536993, -2.223639005126557, 1.747812442073577e-22, -0.09181650734737905, -0.13400205195335746, 3.5833738944941977e-23, 1.0]","[388.79605616809204, 0.014880205886003472, -2.214214886868594e-23, -0.6696964781247094, -2.831288592215458, 1.0414530807344825e-20, 1.0]",26.122000000008942,1.0,0
52,3.015928947446201,1.0e-6,1.0e-6,6.157521601035994,0.004611119484308262,3.78394119842364,13.219999999998112,8.521000000005476,"[390.83744798305514, -3.2034707024696556, 2.139045196620688e-22, -0.06978534062364296, -0.043628081569565644, 3.1676663284371516e-23, 1.0]","[388.8258079991712, 0.0006193187507285546, 9.202991157848398e-24, -10.805709101274102, -5.979988190433672, -1.0964242381699021e-20, 1.0]",21.741000000003588,1.0,0
53,3.141592653589793,1.0e-6,1.0e-6,2.8902652413026098,0.020036697792425694,3.707187735158039,14.317999999997504,9.4000000000085,"[385.8620521890765, 2.2526608437675817, 9.249091096042313e-22, 0.0631405286203947, 0.08288756433202026, 6.804314475722268e-24, 1.0]","[388.8410367822003, -0.0030827887766233858, 2.606072283169923e-23, 3.4206040657876944, -3.691223349063054, 1.539251824494939e-20, 1.0]",23.718000000006004,1.0,0
54,3.141592653589793,1.0e-6,1.0e-6,3.015928947446201,0.15758669896729985,3.3122012117774005,12.043999999998764,7.4180000000020385,"[386.83399231410226, 2.6378683334038686, 8.86281920927677e-22, -0.019870121118582763, -0.014833308232988668, -1.3780619897878896e-23, 1.0]","[388.9606426974639, -0.07348524903060694, -5.070460705782314e-23, 1.3616401638436049, 3.1599488050894005, -4.861838047095552e-22, 1.0]",19.462000000000803,1.0,0
55,3.141592653589793,1.0e-6,1.0e-6,6.031857894892402,0.04297499469088701,3.7163132415311906,14.405999999997455,9.466000000008737,"[391.79765307991556, -2.245343119349545, 9.277757304752063e-22, -0.06168629976759134, -0.0817382222927349, 5.7654907798142184e-24, 1.0]","[388.84273264456164, 0.03721369055503918, 1.5536558161883152e-22, -0.8861389756741358, 0.7975077493604077, 2.2414037903828952e-21, 1.0]",23.872000000006192,1.0,0
56,3.141592653589793,1.0e-6,1.0e-6,6.157521601035994,0.15156229866774582,3.3205354952232873,12.10499999999873,7.47000000000221,"[390.8289804128805, -2.633400759363695, 8.869803793585767e-22, 0.01910883797533671, 0.014475019878833949, -1.4722219606208477e-23, 1.0]","[388.6879581725399, 0.07216260968058169, -4.764118563893671e-23, -1.4192400539263403, -3.192768644297075, -4.660810892575359e-22, 1.0]",19.57500000000094,1.0,0
57,3.267256359733385,1.0e-6,1.0e-6,0.1256637061435917,0.2570035879227492,3.2411082629623307,11.236999999999211,7.274000000000429,"[390.32384107885156, -2.8580339462049538, 1.3863019181843935e-21, 0.05266046008613436, 0.02766742390096854, -2.8378353215925543e-22, 1.0]","[388.6188928329274, 0.15845191942393938, -1.2869872184920514e-22, -1.5785813787053926, -2.1974171949087973, 2.943960276392128e-21, 1.0]",18.51099999999964,1.0,0
58,3.392920065876976,1.0e-6,1.0e-6,0.2513274122871834,0.11136461948565952,3.5967853084805372,11.914999999998836,7.94200000000245,"[390.4071971842797, -3.2182159704724453, -7.546385308588862e-22, -0.018829781890925754, -0.009302196399685887, -7.771626444384241e-22, 1.0]","[388.7365799267157, 0.07235314420552567, 1.111186063468494e-23, -2.3001060061133822, -3.275115749245245, 2.2151876370801303e-20, 1.0]",19.857000000001285,1.0,0
59,3.392920065876976,1.0e-6,1.0e-6,3.392920065876976,0.14934407126958202,3.553987842038298,11.764999999998919,7.839000000002057,"[387.30603009659535, 3.2035774918719704, -7.019720734690473e-22, 0.008173625089769076, 0.003893613640354995, -7.842941761962283e-22, 1.0]","[388.9379948914859, -0.09312160791578931, 2.1561229420002847e-23, 1.9490546763213252, 2.900341500423497, 1.6820353139639736e-20, 1.0]",19.604000000000976,1.0,0
60,3.518583772020568,1.0e-6,1.0e-6,1.5079644737231006,0.03277127904139015,3.8363718374925635,14.714999999997284,8.458000000008054,"[387.2317253090124, 3.489464755292942, 1.7380854549005992e-20, 0.05979062645708116, 0.027020361439616385, -3.1571168011196934e-23, 1.0]","[388.84535591501685, -0.022188165876925004, -1.853534127122228e-22, 4.411464287655569, 4.901169940217093, -4.072168677565633e-20, 1.0]",23.173000000005338,1.0,2
61,3.518583772020568,1.0e-6,1.0e-6,4.649557127312893,0.05406760704013385,3.834863118703785,14.723999999997279,8.46600000000808,"[390.3004023852175, -3.535721159393567, 1.7417988531672242e-20, -0.053904304260524234, -0.022378079048811512, 4.3741403111465034e-23, 1.0]","[388.7780506136564, 0.032528431373201216, -3.1722303992663203e-22, -3.4585104541705776, -4.177545850112774, -2.7768340626305564e-20, 1.0]",23.19000000000536,1.0,2
62,3.64424747816416,1.0e-6,1.0e-6,0.2513274122871834,0.050726232017212144,4.55722220622188,14.322999999997501,10.799000000010219,"[390.62897534719747, -4.196235099515154, -4.8458388920479534e-20, -0.17312967833902748, -0.0744916620922634, -1.4820498409810785e-21, 1.0]","[388.78369735281393, 0.034114526592818314, 4.692535075881233e-22, 3.5276881316121655, 5.765890366142111, 3.0340501909938373e-19, 1.0]",25.12200000000772,1.0,0
