This is Ipopt version 3.13.4, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:     1092
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:       78
                     variables with only lower bounds:        0
                variables with lower and upper bounds:       75
                     variables with only upper bounds:        0
Total number of equality constraints.................:       14
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 141r 1.0000000e+00 1.06e+01 4.57e+07   2.0 2.21e+01    -  5.49e-01 7.35e-02f  1
 142r 1.0000000e+00 4.37e+01 2.15e+11   2.0 1.31e+00    -  1.00e+00 8.07e-01f  1
 143r 1.0000000e+00 8.16e+00 9.87e+09   2.0 2.84e-01    -  3.72e-01 3.61e-01h  1
 144r 1.0000000e+00 1.37e+01 1.82e+10   2.0 5.51e-01    -  1.00e+00 5.00e-01f  2
 145r 1.0000000e+00 2.43e+01 4.43e+09   1.9 2.39e-01    -  8.74e-01 1.00e+00h  1
 146r 1.0000000e+00 7.42e+00 5.83e+09   1.9 1.25e-01    -  1.00e+00 6.25e-02f  5
 147r 1.0000000e+00 6.71e+00 1.01e+10   1.9 8.38e-02    -  1.00e+00 1.00e+00f  1
 148r 1.0000000e+00 1.74e+01 5.65e+09   1.9 3.52e-01    -  1.00e+00 5.00e-01f  2
 149r 1.0000000e+00 9.24e+00 6.28e+09   1.9 8.86e-02    -  1.00e+00 1.00e+00H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150r 1.0000000e+00 2.17e+01 1.64e+09   1.9 1.93e-01    -  1.00e+00 5.00e-01f  2
 151r 1.0000000e+00 2.05e+01 2.53e+09   1.9 7.51e-01    -  4.80e-01 1.80e-02f  5
 152r 1.0000000e+00 1.40e+01 2.17e+09   1.9 8.87e-01    -  1.00e+00 1.25e-01h  4
 153r 1.0000000e+00 1.41e+01 1.56e+10   1.9 5.02e+02    -  4.57e-04 2.14e-04f  2
 154r 1.0000000e+00 1.01e+01 6.03e+09   1.9 4.64e-01    -  3.62e-01 1.28e-01h  3
 155r 1.0000000e+00 8.07e+00 1.50e+11   1.9 3.85e-01    -  3.75e-01 5.23e-01H  1
 156r 1.0000000e+00 1.83e+01 2.25e+11   1.9 1.79e+00    -  4.63e-01 1.56e-01f  1
 157r 1.0000000e+00 7.46e+01 4.53e+12   1.9 2.77e-01    -  1.00e+00 1.00e+00f  1
 158r 1.0000000e+00 1.09e+01 3.25e+11   1.9 1.82e+00    -  2.50e-01 2.64e-01f  1
 159r 1.0000000e+00 8.74e+00 1.01e+10   1.9 6.17e-01   4.0 3.39e-01 2.80e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160r 1.0000000e+00 9.69e+00 8.65e+09   1.9 1.92e+00    -  4.89e-01 1.91e-01F  1
 161r 1.0000000e+00 1.48e+01 8.31e+08   1.9 8.09e+00    -  2.08e-01 6.39e-02f  1
 162r 1.0000000e+00 6.44e+00 1.80e+09   2.0 5.44e+00    -  1.91e-01 6.57e-02F  1
 163r 1.0000000e+00 2.00e+01 6.69e+09   1.8 8.11e-01    -  1.00e+00 1.00e+00f  1
 164r 1.0000000e+00 2.77e+02 7.69e+08   1.8 6.62e-01    -  1.00e+00 1.00e+00f  1
 165r 1.0000000e+00 3.46e+02 2.43e+08   1.8 2.40e-01    -  7.46e-01 1.00e+00f  1
 166r 1.0000000e+00 1.08e+02 1.27e+06   1.8 2.33e-03    -  1.00e+00 1.00e+00h  1
 167r 1.0000000e+00 4.61e+01 5.57e+06   1.8 8.01e-04    -  1.00e+00 1.00e+00h  1
 168r 1.0000000e+00 1.97e+01 2.78e+06   1.8 5.51e-04    -  1.00e+00 1.00e+00h  1
 169r 1.0000000e+00 2.08e+01 2.08e+06   1.8 7.11e-04    -  1.00e+00 5.00e-01h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170r 1.0000000e+00 1.36e+01 9.76e+05   1.8 8.70e-04    -  1.00e+00 1.00e+00h  1
 171r 1.0000000e+00 8.77e+00 3.90e+07   1.8 2.45e-02    -  1.00e+00 5.00e-01h  2
 172r 1.0000000e+00 8.93e+00 2.69e+09   1.8 2.38e-02    -  1.00e+00 1.00e+00H  1
 173r 1.0000000e+00 1.01e+01 7.75e+08   1.8 4.82e-02    -  1.00e+00 3.12e-02f  6
 174r 1.0000000e+00 1.03e+01 6.36e+08   1.8 3.88e-02    -  1.00e+00 1.56e-02f  7
 175r 1.0000000e+00 1.48e+01 3.96e+05   1.8 2.66e-02   3.5 1.00e+00 1.00e+00f  1
 176r 1.0000000e+00 1.47e+01 1.33e+07   1.8 8.26e-03    -  1.00e+00 1.00e+00h  1
 177r 1.0000000e+00 8.33e+01 9.39e+06   1.8 2.25e-03    -  1.00e+00 1.00e+00h  1
 178r 1.0000000e+00 1.40e+01 9.33e+08   1.8 1.31e-02    -  1.00e+00 1.00e+00H  1
 179r 1.0000000e+00 6.94e+02 1.66e+09   1.8 1.22e+00    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180r 1.0000000e+00 7.68e+00 5.50e+08   1.8 1.19e-01    -  4.65e-01 4.96e-01h  1
 181r 1.0000000e+00 1.04e+01 1.36e+10   1.8 1.43e-01    -  1.00e+00 7.52e-01f  1
 182r 1.0000000e+00 4.37e+00 7.32e+09   1.8 1.04e-01    -  2.14e-01 1.71e-01H  1
 183r 1.0000000e+00 1.40e+02 2.69e+11   1.9 3.51e+00    -  1.00e+00 1.81e-02f  2
 184r 1.0000000e+00 1.57e+01 3.81e+08   1.8 6.12e-02    -  1.00e+00 1.00e+00f  1
 185r 1.0000000e+00 1.55e+01 5.90e+08   1.8 9.61e-02    -  6.11e-01 3.08e-01h  2
 186r 1.0000000e+00 1.51e+01 1.48e+08   1.8 1.93e-01    -  1.00e+00 1.95e-03h 10
 187r 1.0000000e+00 9.96e+00 1.11e+08   1.8 8.41e-02    -  1.00e+00 1.00e+00H  1
 188r 1.0000000e+00 1.12e+01 2.70e+07   1.8 2.31e-02    -  1.00e+00 2.50e-01h  3
 189r 1.0000000e+00 1.24e+01 9.56e+08   1.8 2.93e-02    -  1.00e+00 5.00e-01h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190r 1.0000000e+00 1.39e+01 2.11e+09   1.8 3.90e-02    -  1.00e+00 1.00e+00f  1
 191r 1.0000000e+00 8.73e+00 8.93e+08   1.8 2.51e-02    -  1.00e+00 3.12e-02h  6
 192r 1.0000000e+00 8.73e+00 5.53e+03   1.8 1.17e-02    -  0.00e+00 4.77e-07R 22
 193r 1.0000000e+00 1.27e+01 1.54e+10   1.1 1.13e-01   3.9 1.00e+00 8.28e-01f  1
 194r 1.0000000e+00 2.06e+01 3.17e+09   1.1 5.17e+02    -  7.46e-01 1.43e-02f  1
 195r 1.0000000e+00 2.74e+01 3.37e+08   1.1 1.71e+00    -  1.00e+00 7.54e-01f  1
 196r 1.0000000e+00 8.11e+01 4.71e+05   0.1 6.52e-01    -  1.00e+00 1.00e+00f  1
 197r 1.0000000e+00 4.05e+01 4.16e+11   2.0 1.01e-01   5.3 1.00e+00 1.27e-01f  1
 198r 1.0000000e+00 1.07e+01 9.50e+08  -3.9 3.36e-02    -  2.94e-01 1.54e-01h  1
